# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Products","2007-08 Qty ( In MTS)","2007-08 Value( In ` Lakh)","2008-09 Qty ( In MTS)","2008-09 Value( In ` Lakh)","2009-10  Qty ( In MTS)","2009-10  Value( In ` Lakh)","2010-11  Qty ( In MTS)","2010-11  Value( In ` Lakh)"
"Catharanthus","Periwinkle Prabhat","NA","NA","NA","NA","NA","NA","NA"
"Aloe vera","NA","NA","NA","NA","INGR No. 06023","NA","NA","NA"
"Aloe vera","NA","NA","NA","NA","INGR No. 06024","NA","NA","NA"
"Aloe vera","NA","NA","NA","NA","Gilo (Tinospora cordifolia)","NA","NA","NA"
"Aloe vera","NA","NA","NA","NA","INGR No. 06025","NA","NA","NA"
"Aloe vera","NA","NA","NA","NA","Isabgol GI-3","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Goutam","ISGP-4","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Sourin","IGSP-17","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Kishan","RNSP-3","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Bidhan","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Jagannath (90/101)","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Bisra","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Sakarkand – 1(90-704)","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Indira","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Sakarkand – 1","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","(IB-90-15-9)","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","NDSP-10","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Sree kanaka (80/168)","NA","NA","NA","NA"
"Elephant foot yam","NA","NA","NA","NA","NDA-9","NA","NA","NA"
"Yams","NA","NA","NA","Orissa Elite","NA","NA","NA","NA"
"Cassava","NA","NA","NA","NA","Sree Prakash","NA","NA","NA"
"Cassava","NA","NA","NA","NA","Sree Vijaya","NA","NA","NA"
"Greater Yam","NA","NA","NA","Sree Karthika - (DA-199)","NA","NA","NA","NA"
"Greater Yam","NA","NA","NA","Orissa Elite","NA","NA","NA","NA"
"Aroids","NA","NA","NA","Pani saru-1","Sree Athira","NA","NA","NA"
"Aroids","NA","NA","NA","Pani saru-2","NA","NA","NA","NA"
"Arvi","NA","NA","NA","Ahinakatchu","PKS-1","NA","NA","NA"
"Arvi","NA","NA","NA","Indira Arvi-1 - (BKCOL-2)","RNCA-1","NA","NA","NA"
"Arvi","NA","NA","NA","NA","BKCOL-2","NA","NA","NA"
"Arvi","NA","NA","NA","Kadma Arvi","Sonajuli and Jhankri","NA","NA","NA"
"Arvi","NA","NA","NA","Sree Kiran (H-4)","NA","NA","NA","NA"
"Bunda","NA","NA","NA","NDB-3","NA","NA","NA","NA"
"Bunda","NA","NA","NA","NDB-21","NA","NA","NA","NA"
"Carnation","NA","NA","NA","NA","NA","NA","Arka Flame","NA"
"Tuberose","NA","NA","NA","Phule Rajani","NA","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Anmol","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Royal Purple","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Yellow Delight","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Garden Beauty","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Winter Queen","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Autumm Joy","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Mini Queen","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Rangoli","NA","NA","NA"
"Gladiolus","NA","NA","NA","NA","Urvashi","NA","NA","NA"
"Gladiolus","NA","NA","NA","NA","Neelima","NA","NA","NA"
"Arecanut","NA","NA","NA","NA","VTL AH-1","NA","NA","NA"
